Timestamp,Pod_Name,Node_Name,Namespace,CPU_Usage(Cores),Memory_Usage(MB),Network_Latency(ms),Disk_IO(MB/s),Restart_Count,Failure_Type,Risk_Level,failure_flag
2025-03-20 00:06:32.406175+00:00,pod-31,node-5,staging,1.8,936.71,261.76,234.1,1,Resource Exhaustion,Low to Medium Risk,1
2025-03-21 02:56:32.406203+00:00,pod-43,node-3,kube-system,0.83,6892.33,418.86,303.92,6,Node Failure,High Risk,1
2025-03-16 06:54:32.406229+00:00,pod-2,node-5,default,0.84,619.11,243.23,507.91,4,Resource Exhaustion,Low to Medium Risk,1
2025-03-17 14:00:32.406257+00:00,pod-41,node-6,kube-system,0.58,6278.95,172.53,826.72,1,Node Failure,High Risk,1
2025-03-21 12:05:32.406284+00:00,pod-9,node-4,kube-system,2.14,3675.65,298.9,885.41,6,Node Failure,High Risk,1
2025-03-20 02:17:32.406310+00:00,pod-45,node-9,staging,0.94,5736.77,57.54,179.38,4,Pod Crash,Low to Medium Risk,1
2025-03-21 00:14:32.406337+00:00,pod-50,node-7,staging,0.57,4231.66,253.9,461.52,8,Resource Exhaustion,High Risk,1
2025-03-21 14:41:32.406364+00:00,pod-29,node-8,production,0.21,7326.55,31.49,298.6,9,Network Issue,High Risk,1
2025-03-17 02:47:32.406391+00:00,pod-29,node-10,default,0.34,389.73,464.93,353.48,1,Resource Exhaustion,High Risk,1
2025-03-17 21:03:32.406420+00:00,pod-29,node-4,kube-system,1.15,2726.05,72.27,52.49,8,Node Failure,High Risk,1
2025-03-20 05:03:32.406447+00:00,pod-19,node-7,default,0.14,1476.48,344.01,660.75,4,Node Failure,Low to Medium Risk,1
2025-03-17 11:20:32.406473+00:00,pod-13,node-2,kube-system,1.21,548.87,464.59,704.54,0,Pod Crash,High Risk,1
2025-03-17 20:58:32.406498+00:00,pod-20,node-4,staging,1.17,3227.26,433.14,591.2,7,Network Issue,High Risk,1
2025-03-21 01:21:32.406524+00:00,pod-34,node-4,production,0.09,5441.84,151.77,762.42,7,Resource Exhaustion,High Risk,1
2025-03-18 04:33:32.406550+00:00,pod-49,node-6,production,1.51,5732.02,128.53,571.28,6,Pod Crash,High Risk,1
2025-03-18 11:51:32.406575+00:00,pod-45,node-8,production,1.5,6373.4,336.41,474.99,7,Resource Exhaustion,High Risk,1
2025-03-15 18:34:32.406601+00:00,pod-46,node-8,kube-system,1.3,4014.59,411.11,164.34,2,Resource Exhaustion,High Risk,1
2025-03-16 12:06:32.406626+00:00,pod-12,node-2,kube-system,2.42,4975.92,346.59,767.61,4,Pod Crash,High Risk,1
2025-03-17 18:47:32.406651+00:00,pod-4,node-8,kube-system,1.52,5103.71,275.94,959.12,4,Pod Crash,Low to Medium Risk,1
2025-03-18 08:26:32.406679+00:00,pod-6,node-1,production,0.7,7580.23,358.54,50.98,2,Pod Crash,High Risk,1
2025-03-18 23:36:32.406705+00:00,pod-8,node-10,kube-system,1.12,1475.33,394.0,272.69,1,Resource Exhaustion,Low to Medium Risk,1
2025-03-15 19:28:32.406731+00:00,pod-7,node-2,production,2.4,6197.5,288.68,994.16,1,Pod Crash,High Risk,1
2025-03-21 21:29:32.406758+00:00,pod-37,node-4,staging,2.2,5998.54,405.27,542.2,3,Resource Exhaustion,High Risk,1
2025-03-17 12:02:32.406785+00:00,pod-10,node-10,default,0.57,5645.6,445.82,367.67,2,Node Failure,High Risk,1
2025-03-21 15:14:32.406811+00:00,pod-41,node-5,default,1.5,7370.31,303.62,410.55,4,Node Failure,High Risk,1
2025-03-16 08:07:32.406838+00:00,pod-19,node-6,default,2.23,6009.77,247.52,112.2,6,Pod Crash,High Risk,1
2025-03-20 18:09:32.406864+00:00,pod-14,node-7,production,1.52,536.42,423.61,687.09,7,Pod Crash,High Risk,1
2025-03-15 14:18:32.406890+00:00,pod-19,node-3,default,0.93,7036.13,297.51,121.09,5,Pod Crash,High Risk,1
2025-03-20 07:04:32.406916+00:00,pod-12,node-3,production,2.15,3039.61,75.82,323.61,7,Node Failure,High Risk,1
2025-03-20 19:28:32.406943+00:00,pod-23,node-5,staging,2.2,7124.16,9.64,60.52,5,Node Failure,High Risk,1
2025-03-18 23:25:32.406970+00:00,pod-41,node-4,default,1.04,3493.65,310.82,191.89,4,Pod Crash,Low to Medium Risk,1
2025-03-16 09:59:32.406996+00:00,pod-43,node-4,staging,1.78,841.15,170.85,822.81,2,Network Issue,Low to Medium Risk,1
2025-03-21 10:28:32.407026+00:00,pod-49,node-6,default,0.75,467.63,420.62,170.84,3,Node Failure,High Risk,1
2025-03-22 01:19:32.407052+00:00,pod-48,node-9,kube-system,1.42,7427.03,91.58,836.44,5,Resource Exhaustion,High Risk,1
2025-03-16 11:43:32.407079+00:00,pod-43,node-5,kube-system,1.92,7029.48,129.87,625.02,5,Pod Crash,High Risk,1
2025-03-20 11:35:32.407105+00:00,pod-10,node-6,production,0.58,4634.6,462.85,856.05,8,Resource Exhaustion,High Risk,1
2025-03-16 09:52:32.407131+00:00,pod-46,node-10,default,1.16,4959.95,65.99,564.05,6,Resource Exhaustion,High Risk,1
2025-03-18 01:15:32.407157+00:00,pod-25,node-6,staging,1.8,1291.05,298.31,795.1,6,Pod Crash,High Risk,1
2025-03-20 22:33:32.407183+00:00,pod-7,node-9,production,1.45,7218.61,79.57,450.33,4,Node Failure,High Risk,1
2025-03-20 11:44:32.407210+00:00,pod-10,node-2,default,0.8,1528.03,61.07,701.99,5,Resource Exhaustion,Low to Medium Risk,1
2025-03-16 08:58:32.407250+00:00,pod-38,node-6,staging,2.22,1763.23,325.12,809.21,3,Node Failure,High Risk,1
2025-03-16 12:33:32.407277+00:00,pod-30,node-5,staging,0.15,2497.6,162.76,211.35,3,Network Issue,Low to Medium Risk,1
2025-03-19 16:03:32.407305+00:00,pod-11,node-9,staging,2.35,7774.03,352.74,405.1,1,Resource Exhaustion,High Risk,1
2025-03-19 21:54:32.407331+00:00,pod-1,node-3,kube-system,1.08,3299.04,427.94,294.55,4,Resource Exhaustion,High Risk,1
2025-03-15 20:23:32.407356+00:00,pod-28,node-4,production,0.18,6813.79,107.61,795.02,9,Network Issue,High Risk,1
2025-03-16 22:26:32.407382+00:00,pod-24,node-3,staging,0.69,6086.01,178.45,450.96,3,Resource Exhaustion,High Risk,1
2025-03-17 13:29:32.407409+00:00,pod-28,node-8,production,1.75,693.72,8.06,227.65,4,Node Failure,Low to Medium Risk,1
2025-03-18 13:02:32.407436+00:00,pod-45,node-7,kube-system,1.7,7774.99,200.73,881.92,3,Network Issue,High Risk,1
2025-03-22 06:48:32.407462+00:00,pod-35,node-3,staging,0.05,780.59,23.03,170.35,7,Resource Exhaustion,High Risk,1
2025-03-19 17:18:32.407487+00:00,pod-13,node-6,staging,0.71,5634.27,347.64,728.89,8,Resource Exhaustion,High Risk,1
2025-03-21 17:48:32.407513+00:00,pod-27,node-2,default,1.04,2512.12,139.31,416.55,10,Node Failure,High Risk,1
2025-03-16 01:01:32.407538+00:00,pod-34,node-5,production,2.02,1253.4,467.8,895.37,2,Pod Crash,High Risk,1
2025-03-20 16:35:32.407563+00:00,pod-6,node-5,default,0.75,906.41,133.56,953.54,5,Network Issue,Low to Medium Risk,1
2025-03-20 16:38:32.407589+00:00,pod-50,node-10,kube-system,1.28,5176.31,255.18,265.37,0,Resource Exhaustion,Low to Medium Risk,1
2025-03-20 18:03:32.407614+00:00,pod-26,node-6,kube-system,0.53,7601.25,305.66,983.38,1,Network Issue,High Risk,1
2025-03-20 23:07:32.407639+00:00,pod-35,node-6,staging,1.73,227.85,414.74,102.16,2,Node Failure,High Risk,1
2025-03-18 19:48:32.407665+00:00,pod-25,node-8,kube-system,1.08,433.92,248.16,418.38,3,Resource Exhaustion,Low to Medium Risk,1
2025-03-18 18:19:32.407710+00:00,pod-33,node-6,production,1.57,2180.85,417.03,898.68,1,Node Failure,High Risk,1
2025-03-18 07:39:32.407743+00:00,pod-20,node-5,kube-system,1.42,6668.36,211.3,741.1,7,Pod Crash,High Risk,1
2025-03-18 13:58:32.407768+00:00,pod-3,node-5,default,1.22,4032.25,226.97,843.42,3,Node Failure,Low to Medium Risk,1
2025-03-16 21:57:32.407793+00:00,pod-32,node-9,production,0.4,7903.97,242.0,202.13,0,Resource Exhaustion,High Risk,1
2025-03-18 12:31:32.407819+00:00,pod-20,node-1,default,0.5,2083.82,273.13,578.84,5,Network Issue,Low to Medium Risk,1
2025-03-17 10:56:32.407859+00:00,pod-8,node-1,kube-system,2.4,7491.9,99.42,926.85,4,Pod Crash,High Risk,1
2025-03-17 08:17:32.407886+00:00,pod-36,node-6,default,0.52,4810.52,88.2,198.35,9,Network Issue,High Risk,1
2025-03-15 15:02:32.407911+00:00,pod-1,node-2,production,1.4,5191.37,66.69,197.36,9,Node Failure,High Risk,1
2025-03-20 01:20:32.407936+00:00,pod-46,node-7,staging,0.49,7801.19,288.85,504.76,10,Node Failure,High Risk,1
2025-03-19 21:03:32.407963+00:00,pod-38,node-1,default,2.41,6097.76,53.87,173.91,9,Network Issue,High Risk,1
2025-03-20 01:30:32.407989+00:00,pod-6,node-3,default,2.49,1708.77,69.1,330.76,5,Pod Crash,High Risk,1
2025-03-16 21:44:32.408014+00:00,pod-22,node-4,staging,0.45,2481.87,473.92,805.8,8,Node Failure,High Risk,1
2025-03-16 18:10:32.408040+00:00,pod-49,node-9,staging,0.0,4403.1,335.84,720.21,8,Pod Crash,High Risk,1
2025-03-20 21:39:32.408066+00:00,pod-11,node-5,staging,1.2,4571.32,244.72,141.16,8,Network Issue,High Risk,1
2025-03-18 14:48:32.408091+00:00,pod-32,node-10,default,0.86,6260.1,122.86,204.44,9,Pod Crash,High Risk,1
2025-03-17 22:26:32.408117+00:00,pod-2,node-4,staging,2.04,6060.53,43.61,863.82,4,Node Failure,High Risk,1
2025-03-20 06:46:32.408142+00:00,pod-23,node-9,kube-system,0.58,1599.44,64.77,973.72,2,No Failure,No Risk,0
2025-03-17 00:46:32.408168+00:00,pod-23,node-7,production,1.32,1355.72,140.79,948.68,2,No Failure,No Risk,0
2025-03-16 08:33:32.408195+00:00,pod-26,node-2,kube-system,0.16,2638.62,162.93,732.66,0,No Failure,No Risk,0
2025-03-21 23:52:32.408221+00:00,pod-35,node-1,kube-system,0.69,399.73,401.28,637.82,1,Node Failure,High Risk,1
2025-03-22 05:41:32.408247+00:00,pod-32,node-8,production,2.28,5123.77,238.09,691.98,0,Network Issue,High Risk,1
2025-03-18 15:56:32.408272+00:00,pod-38,node-10,kube-system,0.86,4779.3,204.15,495.71,6,Node Failure,High Risk,1
2025-03-16 14:48:32.408371+00:00,pod-26,node-2,staging,0.09,4300.87,456.1,391.25,9,Resource Exhaustion,High Risk,1
2025-03-18 00:46:32.408428+00:00,pod-7,node-6,kube-system,2.04,5936.31,173.82,238.59,1,Network Issue,High Risk,1
2025-03-21 12:59:32.408457+00:00,pod-17,node-9,kube-system,0.44,6320.22,365.84,95.12,4,Network Issue,High Risk,1
2025-03-20 02:22:32.408487+00:00,pod-2,node-8,production,0.12,2771.63,368.86,138.4,6,Node Failure,High Risk,1
2025-03-20 15:33:32.408514+00:00,pod-38,node-7,staging,2.45,4926.35,334.08,208.84,5,Network Issue,High Risk,1
2025-03-16 06:59:32.408540+00:00,pod-42,node-8,production,0.45,2108.45,24.95,368.42,7,Network Issue,High Risk,1
2025-03-21 05:51:32.408566+00:00,pod-5,node-1,kube-system,0.24,2969.34,307.6,689.38,1,Network Issue,Low to Medium Risk,1
2025-03-19 23:46:32.408605+00:00,pod-33,node-4,staging,1.3,1194.59,65.34,950.4,6,Pod Crash,High Risk,1
2025-03-16 02:05:32.408631+00:00,pod-24,node-7,production,0.4,6771.89,302.03,700.8,6,Node Failure,High Risk,1
2025-03-18 20:26:32.408656+00:00,pod-28,node-3,default,0.21,6669.23,402.75,310.11,5,Network Issue,High Risk,1
2025-03-18 19:38:32.408682+00:00,pod-13,node-3,staging,0.03,988.18,192.45,404.0,5,Node Failure,Low to Medium Risk,1
2025-03-19 06:23:32.408707+00:00,pod-49,node-3,staging,0.97,1124.93,370.23,819.08,5,Node Failure,Low to Medium Risk,1
2025-03-16 09:08:32.408733+00:00,pod-30,node-1,staging,2.12,4373.81,13.21,793.95,3,Network Issue,High Risk,1
2025-03-19 19:42:32.408759+00:00,pod-12,node-3,default,0.06,3643.43,130.55,398.25,6,Pod Crash,High Risk,1
2025-03-21 15:45:32.408805+00:00,pod-2,node-4,production,0.46,207.22,463.41,778.54,6,Node Failure,High Risk,1
2025-03-19 07:55:32.408832+00:00,pod-23,node-6,production,1.01,2968.06,185.1,195.77,6,Network Issue,High Risk,1
2025-03-21 04:27:32.408858+00:00,pod-13,node-9,production,0.01,6969.85,138.05,890.79,0,Node Failure,High Risk,1
2025-03-16 02:41:32.408884+00:00,pod-30,node-9,staging,1.51,3352.49,362.28,442.14,0,Pod Crash,Low to Medium Risk,1
2025-03-19 23:22:32.408911+00:00,pod-15,node-4,staging,1.8,4954.06,308.83,571.34,10,Network Issue,High Risk,1
2025-03-19 05:29:32.408937+00:00,pod-48,node-6,production,0.73,1259.19,66.19,758.24,3,Resource Exhaustion,Low to Medium Risk,1
2025-03-17 18:19:32.408963+00:00,pod-19,node-1,production,1.34,3833.59,134.92,272.06,8,Node Failure,High Risk,1
2025-03-15 22:10:32.408991+00:00,pod-19,node-5,production,0.62,4279.28,387.31,534.97,4,Node Failure,Low to Medium Risk,1
2025-03-18 17:45:32.409016+00:00,pod-16,node-5,default,0.69,5685.83,301.45,940.17,7,Resource Exhaustion,High Risk,1
2025-03-20 11:17:32.409042+00:00,pod-25,node-9,staging,1.73,4984.63,30.55,897.96,3,Network Issue,Low to Medium Risk,1
2025-03-21 11:11:32.409068+00:00,pod-37,node-7,staging,2.39,6158.87,366.53,370.08,1,Pod Crash,High Risk,1
2025-03-22 00:59:32.409093+00:00,pod-34,node-2,production,1.74,3447.06,16.12,91.04,7,Pod Crash,High Risk,1
2025-03-16 11:22:32.409119+00:00,pod-19,node-9,default,2.47,2625.09,96.93,992.79,8,Node Failure,High Risk,1
2025-03-19 22:39:32.409144+00:00,pod-50,node-7,production,2.46,1093.2,210.46,481.1,2,Network Issue,High Risk,1
2025-03-17 18:32:32.409179+00:00,pod-9,node-1,staging,1.53,1264.74,221.08,890.93,2,Node Failure,Low to Medium Risk,1
2025-03-20 04:14:32.409216+00:00,pod-37,node-7,kube-system,2.04,330.71,61.1,747.65,3,Pod Crash,High Risk,1
2025-03-15 14:06:32.409244+00:00,pod-40,node-7,staging,0.4,4896.83,343.95,632.8,5,Network Issue,Low to Medium Risk,1
2025-03-16 18:09:32.409270+00:00,pod-11,node-4,kube-system,2.0,7089.56,361.62,921.33,0,Resource Exhaustion,High Risk,1
2025-03-18 04:20:32.409297+00:00,pod-42,node-9,staging,1.83,1440.72,157.12,707.39,3,Node Failure,Low to Medium Risk,1
2025-03-15 19:08:32.409323+00:00,pod-47,node-1,staging,1.64,6947.87,229.78,191.79,2,Node Failure,High Risk,1
2025-03-17 23:00:32.409349+00:00,pod-7,node-3,default,0.05,2207.23,181.5,429.08,6,Pod Crash,High Risk,1
2025-03-21 17:25:32.409374+00:00,pod-12,node-8,production,0.39,2414.17,406.86,417.94,4,Pod Crash,High Risk,1
2025-03-16 10:01:32.409400+00:00,pod-35,node-6,default,1.04,3043.75,440.79,619.84,8,Node Failure,High Risk,1
2025-03-21 06:17:32.409425+00:00,pod-29,node-1,kube-system,1.88,2763.73,93.46,290.71,4,Pod Crash,Low to Medium Risk,1
2025-03-16 18:21:32.409451+00:00,pod-14,node-8,staging,0.07,3785.46,447.04,350.49,2,Network Issue,High Risk,1
2025-03-17 02:33:32.409478+00:00,pod-29,node-3,kube-system,1.59,2328.73,247.24,224.47,6,Pod Crash,High Risk,1
2025-03-21 04:27:32.409503+00:00,pod-6,node-9,kube-system,0.95,1643.15,337.17,658.18,4,Pod Crash,Low to Medium Risk,1
2025-03-18 02:05:32.409529+00:00,pod-35,node-8,staging,0.06,2358.38,234.11,533.07,6,Resource Exhaustion,High Risk,1
2025-03-16 22:08:32.409555+00:00,pod-42,node-1,staging,1.87,3252.08,120.77,264.48,6,Node Failure,High Risk,1
2025-03-18 03:12:32.409582+00:00,pod-40,node-2,staging,0.99,6948.67,277.38,223.84,0,Pod Crash,High Risk,1
2025-03-19 05:37:32.409608+00:00,pod-1,node-1,staging,0.48,824.42,358.29,763.15,6,Network Issue,High Risk,1
2025-03-18 04:53:32.409633+00:00,pod-13,node-6,default,1.63,256.53,174.05,123.17,3,Node Failure,Low to Medium Risk,1
2025-03-16 18:33:32.409660+00:00,pod-28,node-1,default,0.61,6862.77,192.48,541.87,10,Network Issue,High Risk,1
2025-03-16 00:08:32.409686+00:00,pod-23,node-3,kube-system,0.44,5081.99,239.17,374.09,4,Node Failure,Low to Medium Risk,1
2025-03-21 22:45:32.409711+00:00,pod-40,node-3,production,0.1,2930.97,498.0,214.83,7,Pod Crash,High Risk,1
2025-03-19 06:59:32.409748+00:00,pod-28,node-5,production,1.22,5386.48,174.51,79.03,3,Node Failure,Low to Medium Risk,1
2025-03-19 21:23:32.409777+00:00,pod-19,node-9,default,1.24,2583.05,166.96,412.96,9,Resource Exhaustion,High Risk,1
2025-03-17 00:27:32.409803+00:00,pod-13,node-4,kube-system,1.18,4043.76,479.45,237.11,8,Pod Crash,High Risk,1
2025-03-21 21:27:32.409829+00:00,pod-7,node-2,production,1.57,5723.05,100.07,532.95,1,Node Failure,Low to Medium Risk,1
2025-03-16 10:01:32.409872+00:00,pod-19,node-10,default,2.16,1247.98,239.83,783.64,0,Resource Exhaustion,High Risk,1
2025-03-18 04:24:32.409909+00:00,pod-39,node-1,staging,0.78,1527.32,97.46,112.36,4,Node Failure,Low to Medium Risk,1
2025-03-16 13:35:32.409938+00:00,pod-31,node-1,kube-system,0.15,7366.35,143.52,694.81,8,Resource Exhaustion,High Risk,1
2025-03-17 19:44:32.409964+00:00,pod-4,node-6,staging,2.36,2836.47,279.01,317.09,2,Pod Crash,High Risk,1
2025-03-15 20:28:32.409989+00:00,pod-29,node-5,production,0.14,7152.05,268.65,688.89,9,Node Failure,High Risk,1
2025-03-17 12:27:32.410014+00:00,pod-29,node-10,default,0.98,1199.29,130.59,563.03,3,Node Failure,Low to Medium Risk,1
2025-03-20 13:49:32.410040+00:00,pod-48,node-5,production,2.18,7807.11,469.89,571.34,7,Resource Exhaustion,High Risk,1
2025-03-18 02:55:32.410065+00:00,pod-15,node-1,kube-system,0.16,4752.17,156.47,974.97,6,Resource Exhaustion,High Risk,1
2025-03-20 18:12:32.410091+00:00,pod-2,node-9,default,0.9,2311.43,316.04,564.44,6,Node Failure,High Risk,1
2025-03-21 11:07:32.410116+00:00,pod-42,node-7,production,2.47,4808.73,381.02,522.31,2,Node Failure,High Risk,1
2025-03-17 03:49:32.410142+00:00,pod-30,node-9,staging,0.06,6103.32,288.29,358.0,2,Resource Exhaustion,High Risk,1
2025-03-16 05:45:32.410169+00:00,pod-16,node-4,default,1.82,6753.3,288.02,989.64,4,Pod Crash,High Risk,1
2025-03-16 00:06:32.410195+00:00,pod-3,node-2,default,1.9,6104.47,113.58,522.52,3,Network Issue,High Risk,1
2025-03-21 20:30:32.410221+00:00,pod-4,node-8,default,0.78,5069.75,108.61,320.44,1,Node Failure,Low to Medium Risk,1
2025-03-18 09:52:32.410247+00:00,pod-18,node-4,default,2.2,6432.06,10.58,446.98,7,Node Failure,High Risk,1
2025-03-21 02:04:32.410272+00:00,pod-39,node-8,default,2.19,1700.53,79.52,285.89,4,Pod Crash,High Risk,1
2025-03-18 02:35:32.410298+00:00,pod-32,node-5,staging,0.56,1604.69,290.63,735.48,3,Pod Crash,Low to Medium Risk,1
2025-03-16 06:27:32.410324+00:00,pod-2,node-2,default,0.89,4096.05,73.52,978.63,1,Pod Crash,Low to Medium Risk,1
2025-03-16 06:22:32.410350+00:00,pod-50,node-3,staging,1.66,3273.51,2.0,381.35,4,Pod Crash,Low to Medium Risk,1
2025-03-20 09:46:32.410376+00:00,pod-1,node-5,kube-system,0.35,4889.16,495.77,505.59,9,Resource Exhaustion,High Risk,1
2025-03-16 17:12:32.410402+00:00,pod-41,node-8,production,2.28,6412.94,14.03,828.28,10,Network Issue,High Risk,1
2025-03-15 14:47:32.410427+00:00,pod-41,node-3,default,0.16,4135.15,106.29,723.65,7,Node Failure,High Risk,1
2025-03-17 07:33:32.410452+00:00,pod-18,node-7,default,1.39,5786.84,83.42,293.01,6,Resource Exhaustion,High Risk,1
2025-03-20 12:07:32.410477+00:00,pod-13,node-5,kube-system,1.7,6732.26,178.17,789.84,4,Network Issue,High Risk,1
2025-03-17 13:18:32.410503+00:00,pod-40,node-10,default,0.74,1168.61,432.76,909.91,4,Resource Exhaustion,High Risk,1
2025-03-15 13:33:32.410530+00:00,pod-2,node-5,staging,0.83,5410.06,492.33,270.29,5,Pod Crash,High Risk,1
2025-03-16 08:47:32.410555+00:00,pod-33,node-6,kube-system,2.26,1393.82,223.89,661.73,4,Node Failure,High Risk,1
2025-03-16 04:53:32.410581+00:00,pod-10,node-7,staging,2.1,2862.11,407.36,760.99,5,Resource Exhaustion,High Risk,1
2025-03-21 05:32:32.410606+00:00,pod-16,node-3,staging,0.96,2582.59,194.55,686.65,2,No Failure,No Risk,0
2025-03-17 12:44:32.410632+00:00,pod-2,node-5,kube-system,1.01,7877.24,219.39,82.16,3,Node Failure,High Risk,1
2025-03-19 12:04:32.410657+00:00,pod-32,node-1,staging,2.37,7502.76,474.7,772.36,8,Resource Exhaustion,High Risk,1
2025-03-17 22:41:32.410682+00:00,pod-40,node-10,staging,2.04,5940.55,349.86,561.61,10,Pod Crash,High Risk,1
2025-03-21 21:55:32.410708+00:00,pod-34,node-4,staging,1.48,6370.47,137.52,175.42,3,Resource Exhaustion,High Risk,1
2025-03-22 10:24:32.410734+00:00,pod-37,node-7,default,1.31,5583.19,291.85,985.39,2,Network Issue,Low to Medium Risk,1
2025-03-18 16:54:32.410760+00:00,pod-40,node-3,production,1.63,2915.4,452.4,185.68,2,Network Issue,High Risk,1
2025-03-21 08:14:32.410785+00:00,pod-10,node-3,kube-system,0.8,808.87,462.31,642.51,1,Node Failure,High Risk,1
2025-03-16 13:46:32.410811+00:00,pod-42,node-9,staging,1.46,5964.27,207.16,883.31,0,Pod Crash,Low to Medium Risk,1
2025-03-22 06:49:32.410837+00:00,pod-2,node-5,production,0.78,6196.69,199.95,408.97,6,Pod Crash,High Risk,1
2025-03-16 15:33:32.410862+00:00,pod-32,node-5,default,1.76,6186.9,334.47,281.93,2,Network Issue,High Risk,1
2025-03-18 13:06:32.410888+00:00,pod-24,node-10,production,2.13,6072.13,274.82,541.75,4,Pod Crash,High Risk,1
2025-03-18 00:57:32.410913+00:00,pod-45,node-3,kube-system,0.03,3881.64,126.53,324.74,6,Network Issue,High Risk,1
2025-03-21 11:35:32.410949+00:00,pod-1,node-7,staging,0.55,7144.28,12.63,675.64,0,Pod Crash,High Risk,1
2025-03-16 00:31:32.410977+00:00,pod-37,node-7,staging,1.87,7037.56,489.2,524.04,8,Resource Exhaustion,High Risk,1
2025-03-20 11:11:32.411003+00:00,pod-21,node-9,production,2.04,3608.31,133.57,122.25,1,Pod Crash,High Risk,1
2025-03-21 01:22:32.411028+00:00,pod-10,node-4,staging,1.42,5872.33,422.53,442.29,5,Resource Exhaustion,High Risk,1
